feature,importance_harassment,importance_hate_speech,importance_insult,importance_normal,importance_sexually_explicit,importance_threat,importance_overall
wahabi,0.00226414727210057,0.0021138507429823376,0.005899201537693569,0.006336989005733132,0.0003250140518107147,0.0009130980489686088,0.01785230065928893
al,0.0006136429610120108,0.003782408914380464,0.0010362984711132055,0.0029628054412377336,0.0004801737202703408,0.008875329508013938,0.01775065901602769
ganti,0.0005075428043976167,0.005279644264688857,0.0038474837870555428,0.0027298105810120736,0.0017355805318221128,0.0035407734395984333,0.017640835408574636
zionis,0.001821748074855396,0.004456700718153777,0.0003699742201173971,0.005544743134245241,0.0010429229366125867,0.004322687647676983,0.01755877673166138
teroris,0.00041905606265885636,0.0057468985194562535,0.0029934607531917033,0.004912526978210463,0.001160790031420431,0.0022479862003582543,0.01748071854529596
asing,0.0028454728150552715,0.003292687565540237,0.0031293642920790523,0.0054447054282251856,0.00041498607743311434,0.0023475698091981706,0.017474785987531032
cepat,0.0028792423455010546,0.0016629514196072229,0.003967939391874063,0.0019026979528045827,0.0010617794054700582,0.005716125824254737,0.01719073633951172
anjing,0.007410012832872814,0.001164455565797264,0.00031396601223443156,0.0034061523880096144,0.0012999731732170488,0.003554376825208915,0.017148936797340086
merdeka,0.0016266682411270597,0.0006916438946974794,0.006332009985395163,0.0017391318038256056,0.0005951701315134316,0.006123072659512577,0.017107696716071315
solusi,0.002417312496373211,0.005864523955123564,0.0008182817612823339,0.0026875688283419857,0.00031858087660332997,0.004997917649206584,0.01710418556693101
bunuh,0.0016514291582502218,0.007475164229164765,0.006633912099626745,0.00020322076210459557,0.00027023278993067434,0.0007431650008858081,0.01697712403996281
sabtu,0.0019887296560421697,0.005852975765122323,0.00495845112246152,7.732392579811885e-05,0.0004723931269039306,0.0034329713514050257,0.016782844947733088
paksa,0.005117921306532007,0.0011737548882435357,0.0020979644640314855,0.0030817969665392535,0.0006172672535161336,0.004690576438751595,0.01677928131761401
wa,0.00047358743177412733,0.004193068903837772,0.004181197897565006,0.002316907016166941,0.0055253061086934195,5.8466244768272374e-05,0.016748533602805538
ku,0.005050098466050652,1.4455189133958196e-05,0.003651999609000126,0.00471168480214272,0.0008224853612370807,0.0024766453947213125,0.01672736882228585
cek,0.0017115822462352016,0.005619290584714189,0.0010448630906265714,0.005056554478938563,0.0010150631702112642,0.0022445184315952917,0.016691872002321084
laknatullah,0.0019861678299417577,0.0022810157774520415,0.00010311392555650386,0.006222391800924036,0.0033331110130225064,0.0026975467659478753,0.016623347112844723
and,0.0005247253048763152,0.005856587713152022,0.0013285078026096845,0.00038465273466105023,0.0014720704494640057,0.00690952839954375,0.01647607240430683
pergi,0.00305602313726435,0.002325010001219255,0.00043173710186930435,0.0040229657947341855,0.0014333570199723184,0.005157046780530503,0.016426139835589916
