feature,importance_harassment,importance_hate_speech,importance_insult,importance_normal,importance_sexually_explicit,importance_threat,importance_overall
benci,0.008990723798670693,0.00035485290837757884,0.003734982246901084,0.007815963582409253,0.0018816186316951593,0.003382976739844847,0.02616111790789862
cocot,0.0007827753485102986,0.005163873099448509,0.002396874267691061,0.011815007470218283,0.00038201510135739793,0.005419050552946319,0.025959595840171868
pro,0.0011688139865368217,0.00413447726182146,0.004868223446956994,0.003939431955883386,0.0014977950578511615,0.010275523620273763,0.025884265329323586
rusia,0.0038055707274632423,0.006244261303919744,0.004622974698042924,0.002199897148865407,0.0006552273125868664,0.008281981794792195,0.02580991298567038
kampret,0.00011179340699313211,0.006404701839298333,0.006287250077479525,0.012248847449322883,0.00046596177494958923,8.893609949797043e-05,0.02560749064754143
lengkap,0.009697425055689275,0.011169599032003005,0.00022273927232148183,0.0022209486711423317,0.0013627629561958207,0.0008367275336889986,0.025510202521040914
produk,0.0033621418147347986,0.006122991705421329,0.0037061482945544635,0.003252876376244017,0.007217742931060417,0.0018141186707852348,0.02547601979280026
picek,0.0012887429194352912,0.0036331281206514812,0.001902753310779204,0.005803933191940186,0.00010769808135504573,0.012736255624161481,0.025472511248322692
jakarta,0.005323205868981277,0.002534761521931758,0.005235805126613433,2.3539475156879544e-05,0.002054816896104601,0.010055526894610622,0.02522765578339857
liat,0.011743837138032094,0.004664158720078196,0.005013419702414716,0.0009807665611998567,0.0008569302718869612,0.0019424224262266528,0.025201534819838473
dasar,0.004821924157350526,0.002888005883554874,0.006436564968292405,0.005080954264048084,0.0010230570260244412,0.00483064621745939,0.025081152516729717
goblok,0.0005383453953869532,0.005595069102507535,0.0035777997829223285,0.010683372751436375,0.001285363375889662,0.003334212637283134,0.02501416304542599
mati,0.002463809432446355,0.004415681665548721,0.0003571624899660491,0.006853431242335479,0.0031180415737295324,0.007662438092996616,0.024870564497022754
dukung,0.004793025503724878,0.00925801692130917,0.0016585703491842736,0.005954076539663873,0.0018350310406951517,0.0013126244305686605,0.024811344785146006
putih,0.0020222336933929763,0.005543578035987107,0.007942785932439262,0.002336716589330803,0.005677922660624333,0.0010802355185517332,0.02460347243032621
perang,0.007955285175485752,0.00034093253969264844,0.004297235516559344,0.0038480932116221043,0.0007794967650888916,0.007283998175641447,0.02450504138409019
selamat,0.0022770311680476015,0.0028584667832304437,0.007508564871110424,0.0016877183468050273,0.007267133793997573,0.002510585039100711,0.02410950000229178
presiden,0.0012885663149024447,0.00044872890216467686,0.010637990458583447,0.006414518498157331,0.0020398890887351998,0.003023420284428728,0.023853113546971828
kerja,0.009414488107213407,0.0002142918005220221,0.004674853738907149,0.002479456274618524,0.004403343868784332,0.0023574575756186164,0.023543891365664052
hasil,0.00786986056148882,0.0025580673308700118,0.007221947445355854,0.0013082425329985256,0.000558443279710209,0.0037768400274457836,0.023293401177869204
sekolah,0.011553221114000721,0.003141838673213374,0.003336442984007702,0.0030726204626349415,0.0007525388687177987,0.001249780125426466,0.02310644222800101
biadab,0.007822381663707169,0.0036531693381921977,5.64678767718875e-05,0.006222052487816864,0.0009058039493790908,0.004404162441475628,0.023064037757342837
anak,0.006367892524802619,0.0025242346991635276,0.0026352672013068186,0.000786487923514477,0.006725011188807152,0.004015895312951383,0.023054788850545977
bukti,0.00857433620200979,0.006646357424883331,0.0011853845402838797,0.003981846174277457,0.0017578730890458162,0.0008893902321789508,0.023035187662679226
tai,0.00010397720411396553,0.004990843250250872,0.0049257331524472205,0.01033975474422334,0.0010267141181226956,0.001553869663762043,0.022940892132920138
gimana,0.005078607900533249,0.0029082363728530707,0.0030894319609626173,0.003199331508941709,0.003375628640370301,0.005073709443852177,0.022724945827513124
anjir,0.0029206204034394655,0.0004945147971580258,0.008416144310548648,0.004302512286021987,0.002241562061289749,0.0042981755695181605,0.022673529427976034
aman,0.0025403855016107447,0.0009809527642946595,0.00773156528171926,0.0028757963258159523,0.0034118541106041814,0.004965253111204442,0.022505807095249238
emg,0.0061589381781109115,0.004376774490093865,0.003906215474575018,0.0029473020012398647,0.0016420932156186608,0.00342926057217881,0.022460583931817126
pbb,0.003825966586263148,0.005939737638763404,0.0036347540211514053,0.0049823561183333625,0.001095385636882586,0.002365987512799403,0.02184418751419331
pas,0.00410342685057276,0.0021422412829576387,0.008371214076110488,0.0025485897593248642,2.818763380675023e-05,0.004645948068098259,0.02183960767087076
jabat,0.006243750691744411,0.001975820175734939,0.006680198108545469,0.003591249894830994,0.0010524726555842638,0.0022314549578791192,0.021774946484319196
muka,0.005861798599767891,0.0008511150173978259,0.0030351658897748695,0.0011357114562949504,0.0008818563404445718,0.010001934622790969,0.021767581926471078
gadis,0.01017333130843031,0.0031910079812844483,0.0025292027330951314,0.004577129670251469,0.0005794504880366018,0.00045544141183575973,0.02150556359293372
mundur,0.00152071564844077,0.00769470543926614,0.0033822693688158293,0.005301723906571759,0.0004963093112302627,0.0030063127957922903,0.021402036470117052
