model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,param_C,param_max_iter,param_solver
LogisticRegression,8.858781051635741,0.2521377841555025,0.06600899696350097,0.014704746687364269,,"{'C': 0.1, 'max_iter': 2000, 'solver': 'lbfgs'}",0.2832641027233174,0.27505836269148937,0.27207522951661706,0.2742086986649899,0.27155572093813735,0.2752324229069102,0.004220715494469146,7,0.28857944998431,0.2855592359470383,0.2861105511921109,0.2876177973649526,0.28615622524386364,0.28680465194645505,0.001119321902243968,0.1,2000.0,lbfgs
LogisticRegression,20.190495777130128,2.8330090696221886,0.07605810165405273,0.009119340543968062,,"{'C': 1.0, 'max_iter': 500, 'solver': 'lbfgs'}",0.4316948024240983,0.43278271911510807,0.452031375070404,0.43439619919846306,0.4305648253722989,0.43629398423607446,0.007969589395911508,4,0.5143299862312355,0.5056977873133482,0.5032717204161714,0.5049494299875411,0.5037803274032119,0.5064058502703016,0.004052914610168157,1.0,500.0,lbfgs
LogisticRegression,20.438494873046874,1.8778512060211008,0.07513899803161621,0.009601692939970763,,"{'C': 1.0, 'max_iter': 1000, 'solver': 'lbfgs'}",0.4316948024240983,0.43278271911510807,0.452031375070404,0.43439619919846306,0.4305648253722989,0.43629398423607446,0.007969589395911508,4,0.5143299862312355,0.5056977873133482,0.5032717204161714,0.5049494299875411,0.5037803274032119,0.5064058502703016,0.004052914610168157,1.0,1000.0,lbfgs
LogisticRegression,21.28232216835022,1.4748996644575552,0.09811363220214844,0.03206194752516876,,"{'C': 1.0, 'max_iter': 2000, 'solver': 'lbfgs'}",0.4316948024240983,0.43278271911510807,0.452031375070404,0.43439619919846306,0.4305648253722989,0.43629398423607446,0.007969589395911508,4,0.5143299862312355,0.5056977873133482,0.5032717204161714,0.5049494299875411,0.5037803274032119,0.5064058502703016,0.004052914610168157,1.0,2000.0,lbfgs
LogisticRegression,37.85209403038025,1.8415770980480672,0.06987562179565429,0.01750104877534963,,"{'C': 10.0, 'max_iter': 500, 'solver': 'lbfgs'}",0.45117227462859794,0.47211104444563673,0.48789321961828575,0.4421812982498738,0.46862108542687264,0.4643957844738534,0.01611119159941647,1,0.9088546403460275,0.9080530727648611,0.9078864328684803,0.9143516875595271,0.9056558363974906,0.9089603339872772,0.002897376583959058,10.0,500.0,lbfgs
LogisticRegression,35.266996192932126,0.5042761604979878,0.040429306030273435,0.008815795919998058,,"{'C': 10.0, 'max_iter': 1000, 'solver': 'lbfgs'}",0.45117227462859794,0.47211104444563673,0.48789321961828575,0.4421812982498738,0.46862108542687264,0.4643957844738534,0.01611119159941647,1,0.9088546403460275,0.9080530727648611,0.9078864328684803,0.9143516875595271,0.9056558363974906,0.9089603339872772,0.002897376583959058,10.0,1000.0,lbfgs
LogisticRegression,33.588721895217894,0.8585116265870875,0.02077012062072754,0.005172496313209807,,"{'C': 10.0, 'max_iter': 2000, 'solver': 'lbfgs'}",0.45117227462859794,0.47211104444563673,0.48789321961828575,0.4421812982498738,0.46862108542687264,0.4643957844738534,0.01611119159941647,1,0.9088546403460275,0.9080530727648611,0.9078864328684803,0.9143516875595271,0.9056558363974906,0.9089603339872772,0.002897376583959058,10.0,2000.0,lbfgs
SVM,201.87047944068908,1.776373087718835,23.223490381240843,0.9278415688828566,,{'C': 0.01},0.13549941979826832,0.13549941979826832,0.13549941979826832,0.13549941979826832,0.1354938547153528,0.13549830678168523,2.2260331662082856e-06,5,0.13549802871382877,0.13549802871382877,0.13549802871382877,0.13549802871382877,0.13549941979826832,0.13549830693071668,5.564337758223736e-07,0.01,,
SVM,212.3403037071228,8.13334580464523,23.879120111465454,0.5596881429409339,,{'C': 0.1},0.3244482790200744,0.335139180687881,0.32324775007756934,0.31930679959443853,0.3106397690910525,0.32255635569420316,0.007936618121111247,4,0.3421500690779969,0.3376176389555898,0.3300327637206845,0.3377694463611143,0.33629467356625914,0.33677291833632894,0.0039058615805043356,0.1,,
SVM,301.4540638446808,20.421190006869086,23.121741199493407,0.771514317164608,,{'C': 1.0},0.4490209379043985,0.4717796638823253,0.47324715676360724,0.45312013358866005,0.47508930130228216,0.46445143868825467,0.011051972599058537,1,0.6086828444096727,0.5960854949625961,0.6053317239803595,0.6094364883806437,0.6036475613992784,0.60463682262651,0.004774805003434909,1.0,,
